1GMH-E-F	Negative	0.698161	0.301839
1DOW-B-A	Positive	0.30987	0.69013
1XMO-V-M	Positive	0.283973	0.716027
1QKA-B-A	Negative	0.58736	0.41264
1UF2-K-A	Negative	0.628175	0.371825
1FZG-M-B	Positive	0.220152	0.779848
1P13-D-A	Positive	0.358323	0.641677
1YDT-I-E	Negative	0.616464	0.383536
1T7D-C-A	Negative	0.985801	0.0141988
1D4P-A-B	Negative	0.695813	0.304187
1D4P-H-B	Negative	0.936372	0.0636279
1YPH-B-D	Positive	0.472475	0.527525
1U92-C-A	Negative	0.682316	0.317684
1JAN-I-A	Negative	0.886421	0.113579
1GTJ-3-1	Negative	0.899486	0.100514
1QJ7-A-B	Positive	0.451038	0.548962
1QJ7-I-B	Negative	0.88929	0.11071
1F4V-D-A	Negative	0.902946	0.0970536
1RGJ-B-A	Negative	0.962727	0.0372734
1T65-B-A	Positive	0.259807	0.740193
1HR9-O-B	Negative	0.881204	0.118796
1G6R-P-A	Negative	0.737573	0.262427
1N6D-G-A	Negative	0.632446	0.367554
1CQT-I-A	Positive	0.0965148	0.903485
1CQT-J-A	Positive	0.24604	0.75396
1EG4-P-A	Negative	0.777487	0.222513
1OYT-L-H	Negative	0.512811	0.487189
1OYT-I-H	Negative	0.57769	0.42231
1AS4-B-A	Positive	0.168384	0.831616
1G1E-A-B	Positive	0.0643249	0.935675
1SGI-A-B	Negative	0.782691	0.217309
1SGI-D-E	Negative	0.728019	0.271981
1I1F-C-A	Negative	0.888684	0.111316
1K4U-P-S	Negative	0.878916	0.121084
1BMB-I-A	Negative	0.774804	0.225196
1THR-I-H	Negative	0.694612	0.305388
1MT1-A-B	Positive	0.372075	0.627925
1MT1-C-B	Positive	0.243829	0.756171
1MT1-E-B	Positive	0.135256	0.864744
1MT1-G-B	Positive	0.409315	0.590685
1MT1-I-H	Positive	0.260853	0.739147
1MT1-K-H	Positive	0.416719	0.583281
1U8P-C-A	Positive	0.140816	0.859184
1Z71-B-A	Negative	0.678383	0.321617
1TVH-C-A	Negative	0.535017	0.464983
1TVH-F-D	Negative	0.535017	0.464983
1FFK-Y-P	Negative	0.821121	0.178879
1H9H-I-E	Positive	0.252886	0.747114
1IQ5-B-A	Positive	0.110133	0.889867
1X3Z-I-A	Negative	0.766498	0.233502
1NRO-L-H	Positive	0.271655	0.728345
1NRO-R-H	Negative	0.51822	0.48178
1B3G-B-A	Negative	0.540733	0.459267
1OGT-C-A	Negative	0.911385	0.0886148
1J4Q-B-A	Negative	0.875728	0.124272
1RBC-S-A	Negative	0.76721	0.23279
1HAJ-B-A	Negative	0.947737	0.0522627
1H6E-P-A	Negative	0.657589	0.342411
1KUK-B-A	Negative	0.695686	0.304314
1Z7Z-5-1	Positive	0.157787	0.842213
1Z7Z-4-3	Negative	0.513933	0.486067
1HRI-4-1	Negative	0.930141	0.0698593
1TMT-I-H	Positive	0.226327	0.773673
1TMT-J-H	Negative	0.672632	0.327368
1UTI-D-A	Positive	0.203571	0.796429
1YVL-C-A	Negative	0.655702	0.344298
1RH5-C-A	Positive	0.456758	0.543242
1TJK-I-A	Positive	0.37132	0.62868
1AW8-A-B	Positive	0.154927	0.845073
1ZY1-D-A	Positive	0.0938274	0.906173
1Q4Q-O-A	Negative	0.969125	0.030875
1Q4Q-R-A	Negative	0.770318	0.229682
1YM2-X-A	Negative	0.626709	0.373291
1MFG-B-A	Negative	0.974463	0.0255372
1CFA-B-A	Negative	0.639623	0.360377
1BQP-B-A	Positive	0.327073	0.672927
1BQP-D-A	Positive	0.327073	0.672927
1I7U-C-A	Negative	0.881175	0.118825
1FZO-P-A	Positive	0.382398	0.617602
1OEB-D-A	Positive	0.492417	0.507583
1L3E-A-B	Negative	0.804347	0.195653
1PRM-A-C	Positive	0.0588198	0.94118
1Z9O-G-A	Negative	0.917444	0.0825563
1QUR-I-H	Negative	0.787979	0.212021
1W3C-C-A	Negative	0.581752	0.418248
1KUJ-B-A	Positive	0.473101	0.526899
1KUJ-D-A	Positive	0.446024	0.553976
1KUJ-F-A	Negative	0.694834	0.305166
1KUJ-H-C	Negative	0.616255	0.383745
1FC2-C-D	Positive	0.206545	0.793455
1AKJ-C-A	Negative	0.804651	0.195349
1YTF-C-A	Positive	0.289086	0.710914
1YTF-B-D	Negative	0.614789	0.385211
1TNO-M-A	Positive	0.477911	0.522089
1ZVZ-B-A	Positive	0.481115	0.518885
1AR9-0-1	Negative	0.712586	0.287414
1XXV-C-A	Negative	0.965515	0.034485
1XXV-D-A	Negative	0.870426	0.129574
1BM2-L-A	Negative	0.640513	0.359487
1V54-K-A	Positive	0.219833	0.780167
1V54-L-A	Positive	0.178295	0.821705
1V54-M-A	Positive	0.416903	0.583097
1V54-Y-N	Positive	0.178295	0.821705
1YY6-B-A	Negative	0.917317	0.0826826
1D0A-G-A	Negative	0.867193	0.132807
1Z3P-S-E	Negative	0.679454	0.320546
1ZBE-4-1	Positive	0.324394	0.675606
1IDG-B-A	Positive	0.0722939	0.927706
1TFC-C-A	Positive	0.354791	0.645209
1TFC-D-B	Negative	0.528984	0.471016
1ID5-L-H	Negative	0.919035	0.0809647
1S7U-C-A	Negative	0.914019	0.0859805
1OV3-C-A	Negative	0.632983	0.367017
1OW7-D-A	Negative	0.966862	0.0331381
1VWL-M-B	Negative	0.893098	0.106902
1PQ1-B-A	Positive	0.41426	0.58574
1JGN-B-A	Positive	0.350101	0.649899
1GNG-X-A	Negative	0.776889	0.223111
1KAT-X-V	Positive	0.469277	0.530723
1T1X-C-A	Negative	0.986457	0.0135432
1T37-P-A	Negative	0.586154	0.413846
1OK7-C-B	Negative	0.946427	0.0535726
1PTS-P-B	Negative	0.639558	0.360442
1LF8-E-A	Negative	0.883161	0.116839
1IHT-L-H	Negative	0.773829	0.226171
1IHT-I-H	Negative	0.918715	0.0812848
1MXE-E-A	Positive	0.238215	0.761785
1I4F-C-A	Negative	0.892409	0.107591
1DD4-C-A	Negative	0.868597	0.131403
1DD4-D-A	Negative	0.761931	0.238069
1EFX-C-A	Negative	0.990124	0.00987621
1B05-B-A	Positive	0.0885389	0.911461
1OO4-B-A	Negative	0.515676	0.484324
1T5W-C-A	Negative	0.851639	0.148361
1GBQ-B-A	Positive	0.0840817	0.915918
1VAC-P-A	Negative	0.766227	0.233773
1I8I-C-A	Negative	0.815566	0.184434
1YMM-C-A	Positive	0.297864	0.702136
1TSU-P-A	Negative	0.98695	0.0130503
1ZTZ-P-A	Positive	0.429225	0.570775
1M43-C-A	Negative	0.897606	0.102394
1B0N-B-A	Negative	0.52312	0.47688
1NRP-R-H	Negative	0.863667	0.136333
1DUY-C-A	Negative	0.62555	0.37445
1MVK-E-H	Negative	0.561382	0.438618
1MVK-F-H	Positive	0.416861	0.583139
1MVK-G-H	Positive	0.284944	0.715056
1MVK-I-H	Positive	0.345149	0.654851
1MVK-K-H	Positive	0.416861	0.583139
1MVK-L-H	Negative	0.501031	0.498969
1BDT-D-B	Negative	0.511683	0.488317
1BXX-P-A	Negative	0.660456	0.339544
1BCU-L-H	Negative	0.613226	0.386774
1AOU-P-F	Negative	0.80129	0.19871
1WCY-C-A	Negative	0.71683	0.28317
1KTR-P-L	Negative	0.821834	0.178166
1EEY-C-A	Negative	0.794826	0.205174
1WS5-F-A	Positive	0.296564	0.703436
1DDH-P-A	Negative	0.884274	0.115726
1S7V-C-A	Negative	0.791677	0.208323
1K2N-P-A	Negative	0.961346	0.0386537
1PFG-B-A	Negative	0.989532	0.0104677
1TP3-B-A	Negative	0.849569	0.150431
1JGE-C-A	Negative	0.739538	0.260462
1IQ1-A-C	Negative	0.844056	0.155944
